id,latitude,longitude,soortnaam,soortnaamtop,jaarvanaanleg,typeobject,typeeigenaarplus,typebeheerderplus,boomhoogteklasseactueel
920148,4.87055,52.33137,Prunus avium 'Plena',Kers (Prunus),2006,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,b. 6 tot 9 m.
920149,4.87055,52.33152,Prunus avium 'Plena',Kers (Prunus),2006,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,b. 6 tot 9 m.
920150,4.90025,52.34099,Tilia tomentosa,Linde (Tilia),1992,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,d. 12 tot 15 m.
920151,4.8987,52.34086,Tilia europaea 'Zwarte Linde',Linde (Tilia),1948,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,e. 15 tot 18 m.
920152,4.90012,52.34099,Tilia tomentosa 'Brabant',Linde (Tilia),1992,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,b. 6 tot 9 m.
920153,4.90002,52.341,Tilia tomentosa 'Brabant',Linde (Tilia),1992,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,b. 6 tot 9 m.
920154,4.89954,52.34102,Tilia tomentosa 'Brabant',Linde (Tilia),1992,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,c. 9 tot 12 m.
920155,4.9109,52.34136,Tilia europaea 'Pallida',Linde (Tilia),1978,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,d. 12 tot 15 m.
920156,4.91078,52.34189,Robinia pseudoacacia 'Bessoniana',Acacia (Robinia),1989,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,d. 12 tot 15 m.
920157,4.91074,52.342,Robinia pseudoacacia 'Bessoniana',Acacia (Robinia),1982,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,d. 12 tot 15 m.
920158,4.8512,52.33532,Populus tremula,Populier (Populus),2000,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,f. 18 tot 24 m.
920159,4.89239,52.34624,Tilia americana,Linde (Tilia),1990,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,d. 12 tot 15 m.
920160,4.89516,52.34647,Tilia platyphyllos,Linde (Tilia),1953,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,d. 12 tot 15 m.
920161,4.89992,52.34291,Aesculus hippocastanum 'Baumannii',Paardenkastanje (Aesculus),1960,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,c. 9 tot 12 m.
920162,4.8986,52.3429,Sorbus intermedia,Sorbus,1959,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,b. 6 tot 9 m.
920163,4.87495,52.33259,Acer campestre 'Elsrijk',Esdoorn (Acer),2000,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,a. tot 6 m.
920164,4.87495,52.33247,Acer campestre 'Elsrijk',Esdoorn (Acer),2000,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,a. tot 6 m.
920165,4.87495,52.33235,Acer campestre 'Elsrijk',Esdoorn (Acer),2000,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,a. tot 6 m.
920166,4.91072,52.34128,Tilia europaea 'Pallida',Linde (Tilia),1970,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,c. 9 tot 12 m.
920167,4.8747,52.32213,Fraxinus excelsior,Es (Fraxinus),1967,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,e. 15 tot 18 m.
920168,4.8829,52.32229,Fraxinus excelsior 'Westhof's Glorie',Es (Fraxinus),1967,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,c. 9 tot 12 m.
920169,4.90222,52.34732,Tilia americana,Linde (Tilia),1950,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,c. 9 tot 12 m.
920170,4.90237,52.34731,Tilia americana,Linde (Tilia),1950,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,d. 12 tot 15 m.
920171,4.9027,52.34735,Tilia americana,Linde (Tilia),1973,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,c. 9 tot 12 m.
920172,4.90284,52.34737,Tilia americana,Linde (Tilia),1973,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,c. 9 tot 12 m.
920173,4.903,52.34739,Tilia americana,Linde (Tilia),1973,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,c. 9 tot 12 m.
920174,4.90314,52.3474,Tilia americana,Linde (Tilia),1973,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,d. 12 tot 15 m.
920175,4.86456,52.32656,Magnolia kobus,Magnolia,2004,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,b. 6 tot 9 m.
920176,4.86456,52.3266,Magnolia kobus,Magnolia,2004,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,b. 6 tot 9 m.
920177,4.85726,52.33068,Platanus hispanica,Plataan (Platanus),1999,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,e. 15 tot 18 m.
920178,4.85725,52.33082,Platanus hispanica,Plataan (Platanus),1999,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,e. 15 tot 18 m.
920179,4.85149,52.33601,Alnus glutinosa,Els (Alnus),1997,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,c. 9 tot 12 m.
920180,4.85149,52.33603,Alnus glutinosa,Els (Alnus),1997,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,c. 9 tot 12 m.
920181,4.90368,52.34754,Tilia americana,Linde (Tilia),1950,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,d. 12 tot 15 m.
920182,4.85902,52.32748,Tilia europaea 'Euchlora',Linde (Tilia),1981,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,c. 9 tot 12 m.
920183,4.89773,52.34783,Fraxinus ornus,Es (Fraxinus),1992,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,a. tot 6 m.
920184,4.90697,52.34641,Populus nigra 'Italica',Populier (Populus),1951,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,g. 24 m. en hoger
920185,4.8878,52.33204,Metasequoia glyptostroboides,Watercypres (Metasequoia),2001,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,d. 12 tot 15 m.
920186,4.88778,52.33173,Fraxinus excelsior 'Diversifolia',Es (Fraxinus),1963,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,e. 15 tot 18 m.
920187,4.88766,52.33173,Fraxinus excelsior 'Diversifolia',Es (Fraxinus),1977,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,d. 12 tot 15 m.
920188,4.88312,52.33262,Tilia americana,Linde (Tilia),1967,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,c. 9 tot 12 m.
920189,4.87355,52.33434,Corylus colurna,Corylus,1999,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,b. 6 tot 9 m.
920190,4.87347,52.33427,Corylus colurna,Corylus,1999,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,a. tot 6 m.
920191,4.87355,52.33423,Corylus colurna,Corylus,1999,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,a. tot 6 m.
920192,4.85725,52.33095,Platanus hispanica,Plataan (Platanus),1999,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,d. 12 tot 15 m.
920193,4.90108,52.34266,Pyrus calleryana 'Chanticleer',Peer (Pyrus),1995,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,c. 9 tot 12 m.
920194,4.90109,52.34275,Pyrus calleryana 'Chanticleer',Peer (Pyrus),1995,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,b. 6 tot 9 m.
920195,4.90034,52.34276,Corylus colurna,Corylus,1970,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,c. 9 tot 12 m.
920196,4.90022,52.34277,Corylus colurna,Corylus,1965,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,c. 9 tot 12 m.
920197,4.87208,52.33436,Ailanthus altissima 'Purple Dragon',Ailanthus,2006,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,c. 9 tot 12 m.
920198,4.87208,52.33424,Ailanthus altissima 'Purple Dragon',Ailanthus,2006,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,b. 6 tot 9 m.
920199,4.86076,52.32728,Acer pseudoplatanus 'Negenia',Esdoorn (Acer),1965,Stobbe,Gemeente Amsterdam,R&E_VOR_Bomen,d. 12 tot 15 m.
920200,4.86076,52.32721,Acer pseudoplatanus 'Negenia',Esdoorn (Acer),2003,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,c. 9 tot 12 m.
920201,4.86076,52.32713,Acer pseudoplatanus,Esdoorn (Acer),1965,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,c. 9 tot 12 m.
920202,4.90991,52.34182,Pterocarya fraxinifolia,Vleugelnoot (Pterocarya),1948,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,e. 15 tot 18 m.
920203,4.90978,52.34218,Prunus serrulata 'Kanzan',Kers (Prunus),2000,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,a. tot 6 m.
920204,4.90975,52.34224,Prunus serrulata 'Kanzan',Kers (Prunus),1992,Stobbe,Gemeente Amsterdam,R&E_VOR_Bomen,a. tot 6 m.
920205,4.89531,52.34771,Tilia americana,Linde (Tilia),1970,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,c. 9 tot 12 m.
920206,4.90532,52.34492,Acer pseudoplatanus,Esdoorn (Acer),1962,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,c. 9 tot 12 m.
920207,4.87347,52.33417,Corylus colurna,Corylus,1999,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,a. tot 6 m.
920208,4.87355,52.3341,Corylus colurna,Corylus,1999,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,a. tot 6 m.
920209,4.87347,52.33404,Corylus colurna,Corylus,1999,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,a. tot 6 m.
920210,4.90841,52.3409,Sorbus aria,Sorbus,1976,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,b. 6 tot 9 m.
920211,4.90836,52.34102,Sorbus aria,Sorbus,1960,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,c. 9 tot 12 m.
920212,4.901,52.34787,Liquidambar styraciflua,Amberboom (Liquidambar),2000,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,e. 15 tot 18 m.
920213,4.87526,52.33204,Metasequoia glyptostroboides,Watercypres (Metasequoia),2000,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,e. 15 tot 18 m.
920214,4.91154,52.34247,Prunus serrulata 'Kanzan',Kers (Prunus),1976,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,b. 6 tot 9 m.
920215,4.91254,52.34543,Ulmus 'Plantijn',Iep (Ulmus),1997,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,b. 6 tot 9 m.
920216,4.91252,52.34554,Ulmus 'Plantijn',Iep (Ulmus),1997,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,b. 6 tot 9 m.
920217,4.91249,52.34566,Ulmus 'Plantijn',Iep (Ulmus),1997,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,b. 6 tot 9 m.
920218,4.91241,52.34592,Ulmus 'Plantijn',Iep (Ulmus),1997,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,c. 9 tot 12 m.
920219,4.90834,52.34108,Sorbus aria,Sorbus,1960,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,c. 9 tot 12 m.
920220,4.90365,52.3453,Tilia europaea 'Pallida',Linde (Tilia),1976,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,d. 12 tot 15 m.
920221,4.89723,52.34675,Tilia europaea 'Zwarte Linde',Linde (Tilia),2002,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,e. 15 tot 18 m.
920222,4.86181,52.35584,Tilia europaea 'Pallida',Linde (Tilia),1969,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,b. 6 tot 9 m.
920223,4.86845,52.33218,Quercus robur,Eik (Quercus),1965,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,c. 9 tot 12 m.
920224,4.91236,52.34382,Tilia tomentosa 'Brabant',Linde (Tilia),2005,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,c. 9 tot 12 m.
920225,4.90084,52.34687,Ulmus hollandica 'Belgica',Iep (Ulmus),1928,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,e. 15 tot 18 m.
920226,4.90016,52.3471,Tilia europaea 'Euchlora',Linde (Tilia),1952,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,b. 6 tot 9 m.
