id,latitude,longitude,soortnaam,soortnaamtop,jaarvanaanleg,typeobject,typeeigenaarplus,typebeheerderplus,boomhoogteklasseactueel,buurt
920039,4.90851,52.34403,Gleditsia triacanthos 'Skyline',Valse christusdoorn (Gleditsia triacanthos),2003,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,d. 12 tot 15 m.,Rijnbuurt-Oost
920040,4.87165,52.33213,Metasequoia glyptostroboides,Watercypres (Metasequoia),2000,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,f. 18 tot 24 m.,Gelderlandpleinbuurt
920041,4.89661,52.3282,Ulmus hollandica 'Christine Buisman',Iep (Ulmus),1998,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,e. 15 tot 18 m.,Overamstel
920042,4.86143,52.32364,Acer campestre 'Elsrijk',Esdoorn (Acer),1997,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,b. 6 tot 9 m.,Buitenveldert-Zuidwest
920043,4.90345,52.34745,Tilia americana,Linde (Tilia),1950,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,d. 12 tot 15 m.,IJselbuurt-West
920044,4.912,52.34387,Tilia tomentosa 'Brabant',Linde (Tilia),2005,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,c. 9 tot 12 m.,Rijnbuurt-Oost
920045,4.90949,52.34424,Tilia tomentosa 'Brabant',Linde (Tilia),2003,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,c. 9 tot 12 m.,Kromme Mijdrechtbuurt
920046,4.86505,52.32612,Carpinus betulus 'Fastigiata',Haagbeuk (Carpinus),1997,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,b. 6 tot 9 m.,Buitenveldert-Zuidwest
920047,4.86421,52.32611,Carpinus betulus 'Fastigiata',Haagbeuk (Carpinus),1997,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,b. 6 tot 9 m.,Buitenveldert-Zuidwest
920048,4.86401,52.32611,Carpinus betulus 'Fastigiata',Haagbeuk (Carpinus),1997,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,b. 6 tot 9 m.,Buitenveldert-Zuidwest
920049,4.8638,52.32611,Carpinus betulus 'Fastigiata',Haagbeuk (Carpinus),1997,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,b. 6 tot 9 m.,Buitenveldert-Zuidwest
920050,4.8701,52.33203,Metasequoia glyptostroboides,Watercypres (Metasequoia),1997,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,e. 15 tot 18 m.,Gelderlandpleinbuurt
920051,4.86998,52.33214,Metasequoia glyptostroboides,Watercypres (Metasequoia),2000,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,e. 15 tot 18 m.,Gelderlandpleinbuurt
920052,4.87148,52.32559,Sorbus aria 'Magnifica',Sorbus,2004,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,b. 6 tot 9 m.,Buitenveldert-Zuid-Midden
920053,4.87104,52.32558,Sorbus intermedia,Sorbus,1998,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,b. 6 tot 9 m.,Buitenveldert-Zuid-Midden
920054,4.87086,52.32558,Sorbus aria 'Magnifica',Sorbus,2004,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,a. tot 6 m.,Buitenveldert-Zuid-Midden
920055,4.87073,52.32507,Tilia europaea 'Pallida',Linde (Tilia),2005,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,c. 9 tot 12 m.,Buitenveldert-Zuid-Midden
920056,4.86789,52.32366,Acer campestre 'Elsrijk',Esdoorn (Acer),1997,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,b. 6 tot 9 m.,Buitenveldert-Zuidwest
920057,4.88662,52.32236,Fraxinus excelsior 'Westhof's Glorie',Es (Fraxinus),1948,Stobbe,Gemeente Amsterdam,R&E_VOR_Bomen,c. 9 tot 12 m.,Buitenveldert-Zuidoost
920058,4.87997,52.32719,Alnus cordata,Els (Alnus),1997,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,c. 9 tot 12 m.,Buitenveldert-Zuidoost
920059,4.88013,52.32719,Alnus cordata,Els (Alnus),1997,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,c. 9 tot 12 m.,Buitenveldert-Zuidoost
920060,4.885,52.32227,Fraxinus excelsior 'Westhof's Glorie',Es (Fraxinus),1998,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,a. tot 6 m.,Buitenveldert-Zuidoost
920061,4.90929,52.34079,Tilia europaea 'Pallida',Linde (Tilia),1970,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,d. 12 tot 15 m.,Rijnbuurt-Oost
920062,4.90898,52.34073,Tilia europaea 'Pallida',Linde (Tilia),1970,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,d. 12 tot 15 m.,Rijnbuurt-Oost
920063,4.90703,52.34294,Quercus coccinea,Eik (Quercus),1966,Stobbe,Gemeente Amsterdam,R&E_VOR_Bomen,d. 12 tot 15 m.,Kromme Mijdrechtbuurt
